DATE;CSCICP03EZM665S
2004-03-01;99.58771999999999
2004-04-01;99.5065
2004-05-01;99.44808
2004-06-01;99.45183
2004-07-01;99.49535
2004-08-01;99.57471
2004-09-01;99.66079
2004-10-01;99.70393
2004-11-01;99.71555
2004-12-01;99.78101
2005-01-01;99.88015
2005-02-01;99.93366
2005-03-01;99.87182
2005-04-01;99.69275
2005-05-01;99.46835
2005-06-01;99.32766
2005-07-01;99.28973
2005-08-01;99.34843000000001
2005-09-01;99.39848
2005-10-01;99.48433
2005-11-01;99.63835
2005-12-01;99.90675
2006-01-01;100.1397
2006-02-01;100.25399999999999
2006-03-01;100.3083
2006-04-01;100.3322
2006-05-01;100.3002
2006-06-01;100.2758
2006-07-01;100.3312
2006-08-01;100.4042
2006-09-01;100.4942
2006-10-01;100.5897
2006-11-01;100.7176
2006-12-01;100.848
2007-01-01;100.9063
2007-02-01;101.0058
2007-03-01;101.1102
2007-04-01;101.2133
2007-05-01;101.3193
2007-06-01;101.3106
2007-07-01;101.1785
2007-08-01;100.8913
2007-09-01;100.5546
2007-10-01;100.2231
2007-11-01;99.84600999999999
2007-12-01;99.54218
2008-01-01;99.27857
2008-02-01;99.1179
2008-03-01;98.95102
2008-04-01;98.65762
2008-05-01;98.18915
2008-06-01;97.63859000000001
2008-07-01;97.31738
2008-08-01;97.35525
2008-09-01;97.43418
2008-10-01;97.30985
2008-11-01;97.15208
2008-12-01;96.9701
2009-01-01;96.85428
2009-02-01;96.79448000000001
2009-03-01;96.9078
2009-04-01;97.24667
2009-05-01;97.65762
2009-06-01;98.08546
2009-07-01;98.52600000000001
2009-08-01;98.96159
2009-09-01;99.36806999999999
2009-10-01;99.64272
2009-11-01;99.75701
2009-12-01;99.7336
2010-01-01;99.56005
2010-02-01;99.29613
2010-03-01;99.07954000000001
2010-04-01;98.88654
2010-05-01;98.60871999999999
2010-06-01;98.55356
2010-07-01;98.82743
2010-08-01;99.22301999999999
2010-09-01;99.47673
2010-10-01;99.57214
2010-11-01;99.59824
2010-12-01;99.48611
2011-01-01;99.34648
2011-02-01;99.24623000000001
2011-03-01;99.09634
2011-04-01;98.94791
2011-05-01;98.89038000000001
2011-06-01;98.86439
2011-07-01;98.71931
2011-08-01;98.40701
2011-09-01;98.12696
2011-10-01;97.93941
2011-11-01;97.87768
2011-12-01;97.82812
2012-01-01;97.84348
2012-02-01;97.94083
2012-03-01;98.00234
2012-04-01;97.92952
2012-05-01;97.83341999999999
2012-06-01;97.74396
2012-07-01;97.62208000000001
2012-08-01;97.44923
2012-09-01;97.26539
2012-10-01;97.17407
2012-11-01;97.13472
2012-12-01;97.16589
2013-01-01;97.32861
2013-02-01;97.4716
2013-03-01;97.54385
2013-04-01;97.5915
2013-05-01;97.62963
2013-06-01;97.79035999999999
2013-07-01;98.061
2013-08-01;98.40298
2013-09-01;98.7049
2013-10-01;98.85999
2013-11-01;98.99555
2013-12-01;99.15
2014-01-01;99.33310999999999
2014-02-01;99.51134
2014-03-01;99.67645
2014-04-01;99.77901999999999
2014-05-01;99.84311
2014-06-01;99.83563000000001
2014-07-01;99.74211
2014-08-01;99.57417
2014-09-01;99.46301
2014-10-01;99.46387
2014-11-01;99.55533
2014-12-01;99.80624
2015-01-01;100.2283
2015-02-01;100.6929
2015-03-01;100.9846
2015-04-01;101.0074
2015-05-01;100.8567
2015-06-01;100.6845
2015-07-01;100.5708
2015-08-01;100.6118
2015-09-01;100.7258
2015-10-01;100.8638
2015-11-01;101.0079
2015-12-01;101.0885
2016-01-01;101.0366
2016-02-01;100.8707
2016-03-01;100.6926
2016-04-01;100.6017
2016-05-01;100.5659
2016-06-01;100.568
2016-07-01;100.5576
2016-08-01;100.589
2016-09-01;100.6919
2016-10-01;100.8675
2016-11-01;101.042
2016-12-01;101.1425
2017-01-01;101.1463
2017-02-01;101.0919
2017-03-01;101.1317
2017-04-01;101.2223
2017-05-01;101.3369
2017-06-01;101.4859
2017-07-01;101.603
2017-08-01;101.7034
2017-09-01;101.8225
2017-10-01;101.97200000000001
2017-11-01;102.104
2017-12-01;102.1857
2018-01-01;102.1512
2018-02-01;102.0152
2018-03-01;101.852
2018-04-01;101.7076
2018-05-01;101.5672
2018-06-01;101.4994
2018-07-01;101.4613
2018-08-01;101.4222
2018-09-01;101.3736
2018-10-01;101.3404
2018-11-01;101.2336
2018-12-01;101.1078
2019-01-01;101.0994
2019-02-01;101.1338
2019-03-01;101.1566
2019-04-01;101.1279
2019-05-01;101.111
2019-06-01;101.0774
2019-07-01;101.0638
2019-08-01;101.0376
2019-09-01;101.0502
2019-10-01;101.0681
2019-11-01;101.0995
2019-12-01;101.0647
2020-01-01;100.9045
2020-02-01;100.3076
2020-03-01;99.01021999999999
2020-04-01;97.70109000000001
2020-05-01;97.58476999999999
2020-06-01;98.19553
2020-07-01;98.71597
2020-08-01;99.01621999999999
2020-09-01;99.10545
2020-10-01;98.97146
2020-11-01;98.88295
2020-12-01;99.0761
2021-01-01;99.22785999999999
2021-02-01;99.52116
2021-03-01;100.0178
2021-04-01;100.5888
2021-05-01;101.3127
2021-06-01;101.8484
2021-07-01;101.9419
2021-08-01;101.8411
2021-09-01;101.7272
2021-10-01;101.42399999999999
2021-11-01;100.9869
2021-12-01;100.5871
2022-01-01;100.1092
2022-02-01;99.24401999999999
2022-03-01;97.88199
2022-04-01;97.00676999999999
2022-05-01;96.53373
2022-06-01;96.07330999999999
2022-07-01;95.65578000000001
2022-08-01;95.46453000000001
2022-09-01;95.33091999999999
2022-10-01;95.5686
2022-11-01;96.12844
2022-12-01;96.69641999999999
2023-01-01;97.1684
2023-02-01;97.5296
2023-03-01;97.77405
2023-04-01;98.0188
2023-05-01;98.23151
2023-06-01;98.43311
2023-07-01;98.51302
2023-08-01;98.39116
2023-09-01;98.18958
2023-10-01;98.13075
2023-11-01;98.26365
2023-12-01;98.46674
2024-01-01;98.56668
