DATE,CPMNACSCAB1GQEU272020
2004-01-01,2248680.2
2004-04-01,2278620.3
2004-07-01,2298966.5
2004-10-01,2327640.9
2005-01-01,2346919.8
2005-04-01,2371161.1
2005-07-01,2402736.4
2005-10-01,2435197.5
2006-01-01,2469962.2
2006-04-01,2512844.9
2006-07-01,2543999.4
2006-10-01,2591700.6
2007-01-01,2634854.9
2007-04-01,2669144.0
2007-07-01,2698614.4
2007-10-01,2741599.3
2008-01-01,2771736.9
2008-04-01,2789083.8
2008-07-01,2792048.5
2008-10-01,2728852.3
2009-01-01,2629673.7
2009-04-01,2630397.5
2009-07-01,2652420.9
2009-10-01,2673667.7
2010-01-01,2695419.4
2010-04-01,2729461.3
2010-07-01,2759004.9
2010-10-01,2785473.0
2011-01-01,2823176.6
2011-04-01,2831526.5
2011-07-01,2838866.8
2011-10-01,2829167.8
2012-01-01,2840713.7
2012-04-01,2843685.4
2012-07-01,2859967.8
2012-10-01,2853106.7
2013-01-01,2856557.7
2013-04-01,2877618.5
2013-07-01,2888727.0
2013-10-01,2900822.3
2014-01-01,2925818.3
2014-04-01,2936745.2
2014-07-01,2955645.9
2014-10-01,2973487.3
2015-01-01,3013432.3
2015-04-01,3043242.9
2015-07-01,3064439.5
2015-10-01,3086455.9
2016-01-01,3104370.0
2016-04-01,3121238.5
2016-07-01,3141653.4
2016-10-01,3169967.2
2017-01-01,3211345.0
2017-04-01,3254917.6
2017-07-01,3288602.0
2017-10-01,3326998.4
2018-01-01,3345999.6
2018-04-01,3372698.9
2018-07-01,3388279.1
2018-10-01,3431104.6
2019-01-01,3469118.6
2019-04-01,3495447.8
2019-07-01,3516566.2
2019-10-01,3545498.3
2020-01-01,3455087.8
2020-04-01,3104294.8
2020-07-01,3428349.8
2020-10-01,3467827.8
2021-01-01,3517867.2
2021-04-01,3602955.3
2021-07-01,3713201.2
2021-10-01,3782797.7
2022-01-01,3862729.0
2022-04-01,3947182.0
2022-07-01,4011041.7
2022-10-01,4083814.1
2023-01-01,4176651.7
2023-04-01,4226277.9
2023-07-01,4250311.2
2023-10-01,4315826.2
