date;
2004-04-15;9.8
2004-05-17;9.5
2004-06-15;9.3
2004-07-15;9.1
2004-08-18;9
2004-09-16;9.1
2004-10-18;9.3
2004-11-17;9.4
2004-12-16;9.6
2005-01-20;9.5
2005-02-28;9.8
2005-03-16;9.9
2005-04-18;9.8
2005-05-19;9.3
2005-06-16;9.3
2005-07-18;9
2005-08-18;8.7
2005-10-18;8.9
2005-11-16;9.1
2005-12-16;9.3
2006-01-19;9.1
2006-02-28;9.1
2006-03-16;9.4
2006-04-20;9.4
2006-05-17;9.2
2006-06-15;8.7
2006-07-17;8.4
2006-08-17;8.2
2006-09-15;8
2006-10-17;8.1
2006-11-16;8.2
2006-12-15;8.3
2007-01-17;8.4
2007-02-28;8.1
2007-03-15;8.3
2007-04-16;8.4
2007-05-16;8
2007-06-14;7.7
2007-07-16;7.6
2007-08-16;7.3
2007-09-14;7.3
2007-10-16;7.3
2007-11-15;7.3
2007-12-14;7.4
2008-01-16;7.5
2008-02-29;7.5
2008-03-14;7.8
2008-04-16;7.8
2008-05-15;7.6
2008-06-16;7.6
2008-08-16;7.4
2008-08-14;7.5
2008-09-16;7.3
2008-10-15;7.4
2008-11-14;7.5
2008-12-17;7.8
2009-01-15;8.1
2009-02-27;8.5
2009-03-16;9.1
2009-04-16;9.6
2009-05-15;9.7
2009-06-16;9.7
2009-07-15;9.4
2009-08-14;9.4
2009-09-16;9.4
2009-10-15;9.5
2009-11-16;9.8
2009-12-16;10
2010-01-15;10.1
2010-02-26;10.2
2010-03-16;10.7
2010-04-16;10.9
2010-05-18;10.7
2010-06-16;10.5
2010-07-14;10.2
2010-08-16;9.9
2010-09-15;9.9
2010-10-15;9.8
2010-11-16;10
2010-12-16;10.3
2011-01-14;10.3
2011-02-28;10.2
2011-03-16;10.6
2011-04-15;10.6
2011-05-16;10.5
2011-06-16;10
2011-07-14;10
2011-08-17;9.8
2011-09-15;9.8
2011-10-14;9.9
2011-11-16;10.1
2011-12-15;10.5
2012-01-17;10.8
2012-02-29;10.9
2012-03-14;11.4
2012-04-17;11.6
2012-05-16;11.6
2012-06-14;11.4
2012-07-16;11.3
2012-08-16;11.1
2012-09-14;11.1
2012-10-16;11.1
2012-11-15;11.4
2012-12-14;11.9
2013-01-16;12.1
2013-02-28;12
2013-03-15;12.8
2013-04-16;12.9
2013-05-16;12.6
2013-06-14;12.3
2013-07-16;12.1
2013-08-16;11.8
2013-09-16;11.7
2013-10-16;11.6
2013-11-15;11.9
2013-12-17;12.1
2014-01-16;12.2
2014-02-24;11.9
2014-03-17;12.6
2014-04-16;12.6
2014-05-15;12.3
2014-06-16;11.9
2014-07-17;11.6
2014-08-14;11.2
2014-09-17;11.1
2014-10-16;11.1
2014-11-14;11.4
2014-12-17;11.7
2015-01-16;11.9
2015-02-24;11.4
2015-03-17;11.8
2015-04-17;11.9
2015-05-19;11.7
2015-06-17;11.3
2015-07-16;11
2015-08-14;10.8
2015-09-16;10.4
2015-10-16;10.2
2015-11-16;10.5
2015-12-16;10.7
2016-01-19;10.8
2016-02-25;10.6
2016-03-17;10.8
2016-04-14;10.9
2016-05-18;10.7
2016-06-16;10.3
2016-07-15;10.1
2016-08-18;9.9
2016-09-15;9.7
2016-10-17;9.6
2016-11-16;9.7
2016-12-16;9.9
2017-01-18;10
2017-02-22;9.7
2017-03-16;10.1
2017-04-19;10
2017-05-17;9.8
2017-06-16;9.4
2017-07-17;9.1
2017-08-17;8.7
2017-09-18;8.7
2017-10-17;8.7
2017-11-16;8.7
2017-12-18;8.9
2018-01-17;8.8
2018-02-23;8.7
2018-03-16;9.1
2018-04-18;9
2018-05-16;8.8
2018-06-15;8.5
2018-07-18;8.2
2018-08-17;8
2018-09-17;7.8
2018-10-17;7.7
2018-11-16;7.8
2018-12-17;8.1
2019-01-17;8
2019-02-22;7.8
2019-03-15;8.3
2019-04-17;8.2
2019-05-17;8
2019-06-18;7.7
2019-07-17;7.5
2019-08-19;7.2
2019-09-18;7.3
2019-10-16;7.3
2019-11-15;7.4
2019-12-17;7.4
2020-01-17;7.5
2020-02-21;7.4
2020-03-18;7.8
2020-04-17;7.7
2020-05-20;7.3
2020-06-17;7.3
2020-07-17;7.4
2020-08-19;7.8
2020-09-17;8.4
2020-10-16;8.6
2020-11-18;8.6
2020-12-17;8.3
2021-01-20;8
2021-02-23;8.1
2021-03-17;8.6
2021-04-16;8.6
2021-05-19;8.4
2021-06-17;8.3
2021-07-16;7.9
2021-08-18;7.6
2021-09-17;7.5
2021-10-20;7.5
2021-11-17;7.3
2021-12-17;7.3
2022-01-20;7.1
2022-02-23;7
2022-03-17;7.2
2022-04-21;7.1
2022-05-18;6.9
2022-06-17;6.8
2022-07-19;6.6
2022-08-18;6.5
2022-09-16;6.6
2022-10-19;6.7
2022-11-17;6.6
2022-12-16;6.7
2023-01-18;6.7
2023-02-23;6.7
2023-03-17;7
2023-04-19;6.9
2023-05-17;6.7
2023-06-16;6.5
2023-07-19;6.3
2023-08-18;6.2
2023-09-19;6.4
2023-10-18;6.6
2023-11-17;6.5
2023-12-19;6.6
2024-01-17;6.5
2024-02-22;6.4
2024-03-18;6.8
2024-04-17;6.9
2024-05-17;6.6
