DATE;IEABC
2004-01-01;-136989
2004-04-01;-156109
2004-07-01;-161502
2004-10-01;-181291
2005-01-01;-170824
2005-04-01;-180642
2005-07-01;-188193
2005-10-01;-209573
2006-01-01;-199506
2006-04-01;-204953
2006-07-01;-218442
2006-10-01;-193746
2007-01-01;-200315
2007-04-01;-193334
2007-07-01;-175756
2007-10-01;-167144
2008-01-01;-182284
2008-04-01;-179816
2008-07-01;-178194
2008-10-01;-156229
2009-01-01;-99402
2009-04-01;-87089
2009-07-01;-91384
2009-10-01;-101854
2010-01-01;-103034
2010-04-01;-111736
2010-07-01;-116619
2010-10-01;-100621
2011-01-01;-119236
2011-04-01;-119435
2011-07-01;-106860
2011-10-01;-109771
2012-01-01;-113912
2012-04-01;-110004
2012-07-01;-98866
2012-10-01;-95400
2013-01-01;-90923
2013-04-01;-89161
2013-07-01;-85392
2013-10-01;-74041
2014-01-01;-90914
2014-04-01;-87169
2014-07-01;-89189
2014-10-01;-102784
2015-01-01;-99395
2015-04-01;-99475
2015-07-01;-109927
2015-10-01;-99657
2016-01-01;-104015
2016-04-01;-100481
2016-07-01;-99562
2016-10-01;-92158
2017-01-01;-85463
2017-04-01;-103940
2017-07-01;-85766
2017-10-01;-92446
2018-01-01;-96923
2018-04-01;-94154
2018-07-01;-119449
2018-10-01;-129323
2019-01-01;-115479
2019-04-01;-116484
2019-07-01;-109789
2019-10-01;-99998
2020-01-01;-100447
2020-04-01;-149227
2020-07-01;-167262
2020-10-01;-180203
2021-01-01;-175550
2021-04-01;-200219
2021-07-01;-226725
2021-10-01;-228951
2022-01-01;-283899
2022-04-01;-248784
2022-07-01;-222757
2022-10-01;-216154
2023-01-01;-212655
2023-04-01;-214980
2023-07-01;-196378
2023-10-01;-194810
