date;value
2004-07-02;5.6
2004-08-06;5.5
2004-09-03;5.4
2004-10-08;5.4
2004-11-05;5.5
2004-12-03;5.4
2005-01-07;5.4
2005-02-04;5.3
2005-03-04;5.4
2005-04-08;5.2
2005-05-06;5.2
2005-06-03;5.1
2005-07-08;5.0
2005-08-05;5.0
2005-09-02;4.9
2005-10-07;5.0
2005-11-04;5.0
2005-12-02;5.0
2006-01-06;4.9
2006-02-03;4.7
2006-03-03;4.8
2006-04-07;4.7
2006-05-05;4.7
2006-06-02;4.6
2006-07-07;4.6
2006-08-04;4.7
2006-09-08;4.7
2006-10-06;4.5
2006-11-03;4.4
2006-12-08;4.5
2007-01-05;4.4
2007-02-02;4.6
2007-03-02;4.5
2007-04-06;4.4
2007-05-04;4.5
2007-06-08;4.4
2007-07-06;4.6
2007-08-03;4.7
2007-09-07;4.6
2007-10-05;4.7
2007-11-02;4.7
2007-12-07;4.7
2008-01-04;5.0
2008-02-08;5.0
2008-03-07;4.9
2008-04-04;5.1
2008-05-02;5.0
2008-06-06;5.4
2008-07-07;5.6
2008-08-08;5.8
2008-09-05;6.1
2008-10-03;6.1
2008-11-07;6.5
2008-12-05;6.8
2009-01-02;7.3
2009-02-06;7.8
2009-03-06;8.3
2009-04-03;8.7
2009-05-08;9.0
2009-06-05;9.4
2009-07-03;9.5
2009-08-07;9.5
2009-09-04;9.6
2009-10-02;9.8
2009-11-06;10.0
2009-12-04;9.9
2010-01-08;9.9
2010-02-05;9.8
2010-03-05;9.8
2010-04-02;9.9
2010-05-07;9.9
2010-06-04;9.6
2010-07-02;9.4
2010-08-06;9.4
2010-09-03;9.5
2010-10-08;9.5
2010-11-05;9.4
2010-12-03;9.8
2011-01-07;9.3
2011-02-04;9.1
2011-03-04;9.0
2011-04-08;9.0
2011-05-06;9.1
2011-06-03;9.0
2011-07-08;9.1
2011-08-05;9.0
2011-09-02;9.0
2011-10-07;9.0
2011-11-04;8.8
2011-12-02;8.6
2012-01-06;8.5
2012-02-03;8.3
2012-03-02;8.3
2012-04-06;8.2
2012-05-04;8.2
2012-06-08;8.2
2012-07-06;8.2
2012-08-03;8.2
2012-09-07;8.1
2012-10-05;7.8
2012-11-02;7.8
2012-12-07;7.7
2013-01-04;7.9
2013-02-08;8.0
2013-03-08;7.7
2013-04-05;7.5
2013-05-03;7.6
2013-06-07;7.5
2013-07-05;7.5
2013-08-02;7.3
2013-09-06;7.2
2013-10-04;7.2
2013-11-08;7.2
2013-12-06;6.9
2014-01-03;6.7
2014-02-07;6.6
2014-03-07;6.7
2014-04-04;6.7
2014-05-02;6.2
2014-06-06;6.3
2014-07-07;6.1
2014-08-08;6.2
2014-09-05;6.1
2014-10-03;5.9
2014-11-07;5.7
2014-12-05;5.8
2015-01-02;5.6
2015-02-06;5.7
2015-03-06;5.5
2015-04-03;5.4
2015-05-08;5.4
2015-06-05;5.6
2015-07-06;5.3
2015-08-07;5.2
2015-09-04;5.1
2015-10-02;5.0
2015-11-06;5.0
2015-12-04;5.1
2016-01-08;5.0
2016-02-05;4.8
2016-03-04;4.9
2016-04-08;5.0
2016-05-06;5.1
2016-06-03;4.8
2016-07-08;4.9
2016-08-05;4.8
2016-09-02;4.9
2016-10-07;5.0
2016-11-04;4.9
2016-12-02;4.7
2017-01-06;4.7
2017-02-03;4.7
2017-03-03;4.6
2017-04-07;4.4
2017-05-05;4.4
2017-06-02;4.4
2017-07-07;4.3
2017-08-04;4.3
2017-09-08;4.4
2017-10-06;4.3
2017-11-03;4.2
2017-12-08;4.2
2018-01-05;4.1
2018-02-02;4.0
2018-03-02;4.1
2018-04-06;4.0
2018-05-04;4.0
2018-06-08;3.8
2018-07-06;4.0
2018-08-03;3.8
2018-09-07;3.8
2018-10-05;3.7
2018-11-02;3.8
2018-12-07;3.8
2019-01-04;3.9
2019-02-08;4.0
2019-03-08;3.8
2019-04-05;3.8
2019-05-03;3.7
2019-06-07;3.6
2019-07-05;3.6
2019-08-02;3.7
2019-09-06;3.6
2019-10-04;3.5
2019-11-08;3.6
2019-12-06;3.6
2020-01-03;3.6
2020-02-07;3.6
2020-03-06;3.5
2020-04-03;4.4
2020-05-08;14.8
2020-06-05;13.2
2020-07-06;11.0
2020-08-07;10.2
2020-09-04;8.4
2020-10-02;7.8
2020-11-06;6.8
2020-12-04;6.7
2021-01-08;6.7
2021-02-05;6.4
2021-03-05;6.2
2021-04-02;6.1
2021-05-07;6.1
2021-06-04;5.8
2021-07-02;5.9
2021-08-06;5.4
2021-09-03;5.1
2021-10-08;4.7
2021-11-05;4.5
2021-12-03;4.1
2022-01-07;3.9
2022-02-04;4.0
2022-03-04;3.8
2022-04-08;3.6
2022-05-06;3.7
2022-06-03;3.6
2022-07-08;3.6
2022-08-05;3.5
2022-09-02;3.6
2022-10-07;3.5
2022-11-04;3.6
2022-12-02;3.6
2023-01-06;3.5
2023-02-03;3.4
2023-03-03;3.6
2023-04-07;3.5
2023-05-05;3.4
2023-06-02;3.7
2023-07-07;3.6
2023-08-04;3.5
2023-09-08;3.8
2023-10-06;3.8
2023-11-03;3.8
2023-12-08;3.7
2024-01-05;3.7
2024-02-02;3.7
2024-03-08;3.9
2024-04-05;3.8
2024-05-03;3.9
