date;value
01/02/2024;11,94
01/01/2024;1,3
01/12/2023;44,25
01/11/2023;39,67
01/10/2023;34,84
01/09/2023;52,1
01/08/2023;14,48
01/07/2023;39,36
01/06/2023;75,89
01/05/2023;-17,23
01/04/2023;-15,57
01/03/2023;31,73
01/02/2023;-8,74
01/01/2023;13,33
01/12/2022;56,09
01/11/2022;-7,76
01/10/2022;25,88
01/09/2022;-25,88
01/08/2022;9
01/07/2022;20,67
01/06/2022;9,85
01/05/2022;163,35
01/04/2022;-37,99
01/03/2022;-19,72
01/02/2022;27,08
01/01/2022;13,91
01/12/2021;36,93
01/11/2021;10,67
01/10/2021;13,7
01/09/2021;35,33
01/08/2021;49,63
01/07/2021;32,34
01/06/2021;73,95
01/05/2021;48,32
01/04/2021;3,07
01/03/2021;39,99
01/02/2021;25,4
01/01/2021;62,49
01/12/2020;51,31
01/11/2020;30,63
01/10/2020;47,73
01/09/2020;59,12
01/08/2020;41,98
01/07/2020;-9,53
01/06/2020;44,74
01/05/2020;-42,19
01/04/2020;-7,54
01/03/2020;50,46
01/02/2020;-26,6
01/01/2020;-45,11
01/12/2019;-9,31
01/11/2019;28,96
01/10/2019;23,76
01/09/2019;15,36
01/08/2019;51,86
01/07/2019;32,4
01/06/2019;18,02
01/05/2019;-11,74
01/04/2019;-33,5
01/03/2019;32,61
01/02/2019;29,05
01/01/2019;35,74
01/12/2018;5,17
01/11/2018;-11,53
01/10/2018;-24,97
01/09/2018;61,66
01/08/2018;19,26
01/07/2018;19,2
01/06/2018;20,45
01/05/2018;13,02
01/04/2018;46,61
01/03/2018;59,42
01/02/2018;48,7
01/01/2018;8,74
01/12/2017;79,43
01/11/2017;13,57
01/10/2017;15,95
01/09/2017;38,19
01/08/2017;28,99
01/07/2017;38,15
01/06/2017;14,58
01/05/2017;3,69
01/04/2017;15,48
01/03/2017;12,59
01/02/2017;45,15
01/01/2017;7,54
01/12/2016;79,28
01/11/2016;15,36
01/10/2016;5,84
01/09/2016;25,28
01/08/2016;26,97
01/07/2016;47,13
01/06/2016;4,58
01/05/2016;24,1
01/04/2016;18,1
01/03/2016;49,25
01/02/2016;9,49
01/01/2016;-14,93
