DATE;eu_ecb_assets
2000-12-31;3629068
2001-03-31;3559282
2001-06-30;3695055
2001-09-30;3343617
2001-12-31;3600123
2002-03-31;3686974
2002-06-30;3426999
2002-09-30;3217142
2002-12-31;3231236
2003-03-31;3107270
2003-06-30;3345580
2003-09-30;3496941
2003-12-31;3614028
2004-03-31;3851062
2004-06-30;3875553
2004-09-30;3898482
2004-12-31;4047366
2005-03-31;4279363
2005-06-30;4536239
2005-09-30;4874981
2005-12-31;5052487
2006-03-31;5496273
2006-06-30;5418039
2006-09-30;5643108
2006-12-31;5875092
2007-03-31;6057832
2007-06-30;6355715
2007-09-30;6256974
2007-12-31;6145969
2008-03-31;5515858
2008-06-30;5374680
2008-09-30;5054694
2008-12-31;4481358
2009-03-31;4335485
2009-06-30;4717600
2009-09-30;5203629
2009-12-31;5448453
2010-03-31;5874822
2010-06-30;5894316
2010-09-30;6079451
2010-12-31;6305824
2011-03-31;6369892
2011-06-30;6390752
2011-09-30;6108975
2011-12-31;6241157
2012-03-31;6709109
2012-06-30;6734610
2012-09-30;7061260
2012-12-31;7198075
2013-03-31;7625204
2013-06-30;7607761
2013-09-30;7792463
2013-12-31;7956230
2014-03-31;8340241
2014-06-30;8726874
2014-09-30;9177382
2014-12-31;9320229
2015-03-31;10505903
2015-06-30;10342338
2015-09-30;10012502
2015-12-31;10342910
2016-03-31;10264244
2016-06-30;10544993
2016-09-30;10880872
2016-12-31;11088361
2017-03-31;11640318
2017-06-30;11782684
2017-09-30;12040239
2017-12-31;12264330
2018-03-31;12382163
2018-06-30;12615527
2018-09-30;12858353
2018-12-31;12216878
2019-03-31;13165104
2019-06-30;13479163
2019-09-30;13958274
2019-12-31;14279363
2020-03-31;13107774
2020-06-30;13933439
2020-09-30;14262520
2020-12-31;15114570
2021-03-31;16008534
2021-06-30;16697281
2021-09-30;17148017
2021-12-31;17908420
2022-03-31;17503495
2022-06-30;16468960
2022-09-30;16202353
2022-12-31;15907924
2023-03-31;16378734
2023-06-30;16643734
2023-09-30;16620372
2023-12-31;17116532
