TIME_PERIOD;OBS_VALUE
2004-03;6232560
2004-04;6260857
2004-05;6265034
2004-06;6315025
2004-07;6354328
2004-08;6375262
2004-09;6417367
2004-10;6461295
2004-11;6484681
2004-12;6540370
2005-01;6573488
2005-02;6608114
2005-03;6628904
2005-04;6682171
2005-05;6731012
2005-06;6807158
2005-07;6876098
2005-08;6910851
2005-09;6972348
2005-10;6991045
2005-11;7026011
2005-12;7087688
2006-01;7120530
2006-02;7170903
2006-03;7221870
2006-04;7303247
2006-05;7347064
2006-06;7384535
2006-07;7403251
2006-08;7475677
2006-09;7573456
2006-10;7598491
2006-11;7652435
2006-12;7753664
2007-01;7838828
2007-02;7889632
2007-03;8008901
2007-04;8032196
2007-05;8131894
2007-06;8206004
2007-07;8290033
2007-08;8344411
2007-09;8418757
2007-10;8541363
2007-11;8631573
2007-12;8647955
2008-01;8792996
2008-02;8843283
2008-03;8867178
2008-04;8941132
2008-05;9020654
2008-06;9043512
2008-07;9107377
2008-08;9143911
2008-09;9224970
2008-10;9369188
2008-11;9387302
2008-12;9402536
2009-01;9402569
2009-02;9436800
2009-03;9403493
2009-04;9451436
2009-05;9421765
2009-06;9427864
2009-07;9432922
2009-08;9387860
2009-09;9414190
2009-10;9383479
2009-11;9355046
2009-12;9349659
2010-01;9323895
2010-02;9323587
2010-03;9332420
2010-04;9378158
2010-05;9388935
2010-06;9239734
2010-07;9234311
2010-08;9265030
2010-09;9272679
2010-10;9268770
2010-11;9287477
2010-12;9298961
2011-01;9319943
2011-02;9328333
2011-03;9344996
2011-04;9350133
2011-05;9369940
2011-06;9385420
2011-07;9392248
2011-08;9461113
2011-09;9493073
2011-10;9455778
2011-11;9471403
2011-12;9497899
2012-01;9508311
2012-02;9534407
2012-03;9609739
2012-04;9577204
2012-05;9628066
2012-06;9656517
2012-07;9705697
2012-08;9695892
2012-09;9715180
2012-10;9773709
2012-11;9776607
2012-12;9786331
2013-01;9767498
2013-02;9784919
2013-03;9804177
2013-04;9822348
2013-05;9836852
2013-06;9818489
2013-07;9832045
2013-08;9874165
2013-09;9870415
2013-10;9877584
2013-11;9884867
2013-12;9832592
2014-01;9873167
2014-02;9895521
2014-03;9892963
2014-04;9879122
2014-05;9941400
2014-06;9973944
2014-07;10007380
2014-08;10051630
2014-09;10098550
2014-10;10123310
2014-11;10186860
2014-12;10326080
2015-01;10404870
2015-02;10437770
2015-03;10475390
2015-04;10544920
2015-05;10563840
2015-06;10581760
2015-07;10654280
2015-08;10664510
2015-09;10692890
2015-10;10779800
2015-11;10838550
2015-12;10842910
2016-01;10911470
2016-02;10978380
2016-03;10986940
2016-04;11038470
2016-05;11084490
2016-06;11118680
2016-07;11179350
2016-08;11198390
2016-09;11238300
2016-10;11265190
2016-11;11336730
2016-12;11382090
2017-01;11440350
2017-02;11491870
2017-03;11579690
2017-04;11579960
2017-05;11606540
2017-06;11650440
2017-07;11668800
2017-08;11736670
2017-09;11772730
2017-10;11804610
2017-11;11849210
2017-12;11860290
2018-01;11904870
2018-02;11918940
2018-03;11942320
2018-04;11995250
2018-05;12065650
2018-06;12150440
2018-07;12133780
2018-08;12155090
2018-09;12196710
2018-10;12257140
2018-11;12307880
2018-12;12371400
2019-01;12400950
2019-02;12456430
2019-03;12537990
2019-04;12607950
2019-05;12674410
2019-06;12724510
2019-07;12779620
2019-08;12881300
2019-09;12914780
2019-10;12971290
2019-11;13012000
2019-12;12987310
2020-01;13056300
2020-02;13143620
2020-03;13481760
2020-04;13644400
2020-05;13811410
2020-06;13912260
2020-07;13987530
2020-08;14018600
2020-09;14147820
2020-10;14248770
2020-11;14350960
2020-12;14483240
2021-01;14593690
2021-02;14670750
2021-03;14753970
2021-04;14814650
2021-05;14910080
2021-06;14992530
2021-07;15102650
2021-08;15181610
2021-09;15254240
2021-10;15365140
2021-11;15420170
2021-12;15504800
2022-01;15594390
2022-02;15654190
2022-03;15727640
2022-04;15806390
2022-05;15858930
2022-06;15938580
2022-07;15992860
2022-08;16118250
2022-09;16195840
2022-10;16128590
2022-11;16131320
2022-12;16068420
2023-01;16078600
2023-02;16068290
2023-03;16051520
2023-04;15998810
2023-05;16006230
2023-06;15991120
2023-07;15941530
2023-08;15927110
2023-09;15994330
2023-10;15971260
2023-11;16002990
2023-12;16136970
2024-01;16090920
2024-02;16114440
2024-03;16190430
