TIME_PERIOD;OBS_VALUE
2013-Q1;753159.8
2013-Q2;781635
2013-Q3;765959.7
2013-Q4;759243.7
2014-Q1;782217.2
2014-Q2;822356.1
2014-Q3;792563.1
2014-Q4;807935.7
2015-Q1;834287
2015-Q2;912040.2
2015-Q3;833913.6
2015-Q4;870276
2016-Q1;828933.3
2016-Q2;875081.1
2016-Q3;840888.8
2016-Q4;894907.9
2017-Q1;890722.7
2017-Q2;981445.1
2017-Q3;877680.7
2017-Q4;932386.4
2018-Q1;931684.6
2018-Q2;1015864
2018-Q3;971880.9
2018-Q4;1027835
2019-Q1;980444.6
2019-Q2;1083139
2019-Q3;991662
2019-Q4;1084824
2020-Q1;1020318
2020-Q2;860822.9
2020-Q3;878058.8
2020-Q4;977745.9
2021-Q1;960993
2021-Q2;1036549
2021-Q3;1037390
2021-Q4;1209074
2022-Q1;1225679
2022-Q2;1393666
2022-Q3;1414558
2022-Q4;1428857
2023-Q1;1322871
2023-Q2;1385036
2023-Q3;1294351
2023-Q4;1332364
2013-Q1;22794.9
2013-Q2;46543.3
2013-Q3;58033.1
2013-Q4;79400
2014-Q1;29127.2
2014-Q2;34261.2
2014-Q3;75096.8
2014-Q4;98093.3
2015-Q1;55066.3
2015-Q2;35481.5
2015-Q3;95451.5
2015-Q4;99681.8
2016-Q1;53164
2016-Q2;77399.1
2016-Q3;95219.9
2016-Q4;99612.3
2017-Q1;67337.6
2017-Q2;28530.7
2017-Q3;124477.7
2017-Q4;129371.6
2018-Q1;76099.3
2018-Q2;67459.1
2018-Q3;97225.9
2018-Q4;82587.4
2019-Q1;78723.6
2019-Q2;30426.3
2019-Q3;120074.5
2019-Q4;57945.5
2020-Q1;-114.7
2020-Q2;14396.4
2020-Q3;79620.1
2020-Q4;98410.7
2021-Q1;92611.3
2021-Q2;83459.5
2021-Q3;103270.7
2021-Q4;58877.4
2022-Q1;7114.9
2022-Q2;-51223.3
2022-Q3;-45600.5
2022-Q4;10695.6
2023-Q1;25935.6
2023-Q2;29960.4
2023-Q3;95528.9
2023-Q4;88372.1
2013-Q1;775954.8
2013-Q2;828178.4
2013-Q3;823992.8
2013-Q4;838643.8
2014-Q1;811344.4
2014-Q2;856617.3
2014-Q3;867659.9
2014-Q4;906029
2015-Q1;889353.4
2015-Q2;947521.7
2015-Q3;929365.1
2015-Q4;969957.8
2016-Q1;882097.3
2016-Q2;952480.2
2016-Q3;936108.6
2016-Q4;994520.2
2017-Q1;958060.3
2017-Q2;1009976
2017-Q3;1002158
2017-Q4;1061758
2018-Q1;1007784
2018-Q2;1083323
2018-Q3;1069107
2018-Q4;1110422
2019-Q1;1059168
2019-Q2;1113566
2019-Q3;1111736
2019-Q4;1142769
2020-Q1;1020204
2020-Q2;875219.3
2020-Q3;957678.9
2020-Q4;1076157
2021-Q1;1053604
2021-Q2;1120009
2021-Q3;1140661
2021-Q4;1267951
2022-Q1;1232794
2022-Q2;1342443
2022-Q3;1368957
2022-Q4;1439553
2023-Q1;1348807
2023-Q2;1414996
2023-Q3;1389880
2023-Q4;1420736
