Date,Close
03/01/2000 18.00.00,"4849,22"
04/01/2000 18.00.00,"4657,83"
05/01/2000 18.00.00,"4541,75"
06/01/2000 18.00.00,"4500,69"
07/01/2000 18.00.00,"4648,27"
10/01/2000 18.00.00,"4714,03"
11/01/2000 18.00.00,"4671,5"
12/01/2000 18.00.00,"4649,3"
13/01/2000 18.00.00,"4688,35"
14/01/2000 18.00.00,"4829,36"
17/01/2000 18.00.00,"4884,5"
18/01/2000 18.00.00,4761
19/01/2000 18.00.00,"4768,37"
20/01/2000 18.00.00,"4778,71"
21/01/2000 18.00.00,"4719,29"
24/01/2000 18.00.00,"4718,76"
25/01/2000 18.00.00,"4653,61"
26/01/2000 18.00.00,"4721,03"
27/01/2000 18.00.00,"4786,82"
28/01/2000 18.00.00,"4781,94"
31/01/2000 18.00.00,"4684,48"
01/02/2000 18.00.00,"4792,04"
02/02/2000 18.00.00,"4902,12"
03/02/2000 18.00.00,"5046,12"
04/02/2000 18.00.00,"5119,79"
07/02/2000 18.00.00,"5041,08"
08/02/2000 18.00.00,"5176,17"
09/02/2000 18.00.00,"5191,79"
10/02/2000 18.00.00,"5174,35"
11/02/2000 18.00.00,"5195,67"
14/02/2000 18.00.00,"5166,08"
15/02/2000 18.00.00,"5043,33"
16/02/2000 18.00.00,"5063,73"
17/02/2000 18.00.00,"5114,47"
18/02/2000 18.00.00,"5079,59"
21/02/2000 18.00.00,"5033,33"
22/02/2000 18.00.00,"5024,05"
23/02/2000 18.00.00,5086
24/02/2000 18.00.00,"5117,41"
25/02/2000 18.00.00,"5208,87"
28/02/2000 18.00.00,"5126,33"
29/02/2000 18.00.00,"5182,62"
01/03/2000 18.00.00,"5235,14"
02/03/2000 18.00.00,"5406,37"
03/03/2000 18.00.00,"5450,22"
06/03/2000 18.00.00,"5464,43"
07/03/2000 18.00.00,"5426,36"
08/03/2000 18.00.00,"5364,52"
09/03/2000 18.00.00,"5352,88"
10/03/2000 18.00.00,"5416,81"
13/03/2000 18.00.00,"5254,41"
14/03/2000 18.00.00,"5258,32"
15/03/2000 18.00.00,"5083,15"
16/03/2000 18.00.00,"5175,23"
17/03/2000 18.00.00,"5231,35"
20/03/2000 18.00.00,"5286,71"
21/03/2000 18.00.00,"5266,23"
22/03/2000 18.00.00,"5268,35"
23/03/2000 18.00.00,"5259,15"
24/03/2000 18.00.00,"5379,75"
27/03/2000 18.00.00,"5369,11"
28/03/2000 18.00.00,"5426,57"
29/03/2000 18.00.00,"5416,32"
30/03/2000 18.00.00,"5251,97"
31/03/2000 18.00.00,"5249,55"
03/04/2000 18.00.00,"5118,37"
04/04/2000 18.00.00,"5176,71"
05/04/2000 18.00.00,"5044,17"
06/04/2000 18.00.00,"5179,96"
07/04/2000 18.00.00,"5259,52"
10/04/2000 18.00.00,"5282,26"
11/04/2000 18.00.00,"5174,38"
12/04/2000 18.00.00,"5179,28"
13/04/2000 18.00.00,"5181,33"
14/04/2000 18.00.00,"5033,29"
17/04/2000 18.00.00,"4979,66"
18/04/2000 18.00.00,"5061,9"
19/04/2000 18.00.00,"5078,69"
20/04/2000 18.00.00,"5117,78"
25/04/2000 18.00.00,"5158,13"
26/04/2000 18.00.00,"5245,11"
27/04/2000 18.00.00,"5171,96"
28/04/2000 18.00.00,"5303,95"
02/05/2000 18.00.00,"5434,81"
