DATE;CSCICP03USM665S
2004-03-01;101.1277
2004-04-01;100.9568
2004-05-01;100.8785
2004-06-01;101.0162
2004-07-01;101.1275
2004-08-01;101.1028
2004-09-01;100.9841
2004-10-01;100.895
2004-11-01;100.9591
2004-12-01;101.0947
2005-01-01;101.08
2005-02-01;100.9246
2005-03-01;100.6953
2005-04-01;100.5071
2005-05-01;100.575
2005-06-01;100.8249
2005-07-01;100.7314
2005-08-01;100.1407
2005-09-01;99.42278
2005-10-01;99.18978
2005-11-01;99.57593
2005-12-01;100.1521
2006-01-01;100.4121
2006-02-01;100.3635
2006-03-01;100.2323
2006-04-01;99.98100000000001
2006-05-01;99.69939000000001
2006-06-01;99.67864
2006-07-01;99.71475
2006-08-01;99.81288
2006-09-01;100.1277
2006-10-01;100.5471
2006-11-01;100.7777
2006-12-01;100.89299999999999
2007-01-01;100.9249
2007-02-01;100.7022
2007-03-01;100.4308
2007-04-01;100.257
2007-05-01;100.1968
2007-06-01;100.1562
2007-07-01;100.1331
2007-08-01;99.90429
2007-09-01;99.64957
2007-10-01;99.35554
2007-11-01;99.07018000000001
2007-12-01;98.9023
2008-01-01;98.74091
2008-02-01;98.35253
2008-03-01;97.88428
2008-04-01;97.35648
2008-05-01;96.97754
2008-06-01;96.85837
2008-07-01;97.06129
2008-08-01;97.31839000000001
2008-09-01;97.39437
2008-10-01;97.04175
2008-11-01;96.78537
2008-12-01;96.77790999999999
2009-01-01;96.78511
2009-02-01;96.7591
2009-03-01;96.96084
2009-04-01;97.40855
2009-05-01;97.79377
2009-06-01;97.95326
2009-07-01;97.90809
2009-08-01;97.95174
2009-09-01;98.1294
2009-10-01;98.15902
2009-11-01;98.17303000000001
2009-12-01;98.34699
2010-01-01;98.50824
2010-02-01;98.56321
2010-03-01;98.56012
2010-04-01;98.53974000000001
2010-05-01;98.53848
2010-06-01;98.44367
2010-07-01;98.15993
2010-08-01;97.98689
2010-09-01;97.93621
2010-10-01;98.0344
2010-11-01;98.29088
2010-12-01;98.54091
2011-01-01;98.64883
2011-02-01;98.59994
2011-03-01;98.35714
2011-04-01;98.29892
2011-05-01;98.28327
2011-06-01;97.97703
2011-07-01;97.40202
2011-08-01;96.91122
2011-09-01;96.84425999999999
2011-10-01;97.07516
2011-11-01;97.51543000000001
2011-12-01;98.06004
2012-01-01;98.52431999999999
2012-02-01;98.78316
2012-03-01;98.9079
2012-04-01;98.94286
2012-05-01;98.8867
2012-06-01;98.68109
2012-07-01;98.60864000000001
2012-08-01;98.77948
2012-09-01;99.09756999999999
2012-10-01;99.32568
2012-11-01;99.23881
2012-12-01;98.90295
2013-01-01;98.77381
2013-02-01;98.8774
2013-03-01;99.04517
2013-04-01;99.25853000000001
2013-05-01;99.59885
2013-06-01;99.7748
2013-07-01;99.73689
2013-08-01;99.45435
2013-09-01;99.07096999999999
2013-10-01;98.83395
2013-11-01;98.93504
2013-12-01;99.24061
2014-01-01;99.41454
2014-02-01;99.48507
2014-03-01;99.51751999999999
2014-04-01;99.59100000000001
2014-05-01;99.5773
2014-06-01;99.55072
2014-07-01;99.54248
2014-08-01;99.63799
2014-09-01;99.84365
2014-10-01;100.1328
2014-11-01;100.4875
2014-12-01;100.8809
2015-01-01;101.1459
2015-02-01;101.1482
2015-03-01;101.0514
2015-04-01;100.9965
2015-05-01;100.9159
2015-06-01;100.93
2015-07-01;100.815
2015-08-01;100.625
2015-09-01;100.4538
2015-10-01;100.4831
2015-11-01;100.5999
2015-12-01;100.6973
2016-01-01;100.7104
2016-02-01;100.67299999999999
2016-03-01;100.633
2016-04-01;100.6551
2016-05-01;100.7778
2016-06-01;100.7557
2016-07-01;100.6087
2016-08-01;100.5024
2016-09-01;100.4832
2016-10-01;100.5603
2016-11-01;100.8904
2016-12-01;101.2288
2017-01-01;101.3774
2017-02-01;101.365
2017-03-01;101.3344
2017-04-01;101.2947
2017-05-01;101.2233
2017-06-01;101.1172
2017-07-01;101.0761
2017-08-01;101.1728
2017-09-01;101.2939
2017-10-01;101.4439
2017-11-01;101.4238
2017-12-01;101.34100000000001
2018-01-01;101.3704
2018-02-01;101.5302
2018-03-01;101.6295
2018-04-01;101.5796
2018-05-01;101.4953
2018-06-01;101.4384
2018-07-01;101.4075
2018-08-01;101.4186
2018-09-01;101.5003
2018-10-01;101.4828
2018-11-01;101.3758
2018-12-01;101.2088
2019-01-01;101.0089
2019-02-01;101.0619
2019-03-01;101.2753
2019-04-01;101.4318
2019-05-01;101.5178
2019-06-01;101.426
2019-07-01;101.1991
2019-08-01;100.9093
2019-09-01;100.9092
2019-10-01;101.1078
2019-11-01;101.3707
2019-12-01;101.5937
2020-01-01;101.5921
2020-02-01;101.1732
2020-03-01;100.1966
2020-04-01;99.13439
2020-05-01;98.6451
2020-06-01;98.59637
2020-07-01;98.6133
2020-08-01;98.81078000000001
2020-09-01;99.11648000000001
2020-10-01;99.26201
2020-11-01;99.21984
2020-12-01;99.22284
2021-01-01;99.2288
2021-02-01;99.36539
2021-03-01;99.72381999999999
2021-04-01;99.96289
2021-05-01;99.90543000000001
2021-06-01;99.70004
2021-07-01;99.24198
2021-08-01;98.68500999999999
2021-09-01;98.3926
2021-10-01;98.20995
2021-11-01;98.05109
2021-12-01;97.95181
2022-01-01;97.72173000000001
2022-02-01;97.42071999999999
2022-03-01;97.18818
2022-04-01;97.02539
2022-05-01;96.62722
2022-06-01;96.22865
2022-07-01;96.20132
2022-08-01;96.46188000000001
2022-09-01;96.67612
2022-10-01;96.78831
2022-11-01;96.854
2022-12-01;97.06936999999999
2023-01-01;97.35186
2023-02-01;97.46672
2023-03-01;97.35741999999999
2023-04-01;97.26666999999999
2023-05-01;97.26799999999999
2023-06-01;97.55695
2023-07-01;97.89565999999999
2023-08-01;97.93700000000001
2023-09-01;97.7463
2023-10-01;97.51254
2023-11-01;97.56221
2023-12-01;98.1097
2024-01-01;98.91297
